Persona, 03:10:49.223039, 03:10:49.223575, 2
Persona, 03:10:49.406315, 03:10:49.407154, 2
Persona, 03:10:56.867835, 03:10:56.868339, 1
Persona, 03:11:06.153270, 03:11:06.154114, 1
Persona, 03:11:15.654396, 03:11:15.654984, 2
Persona, 03:11:21.151521, 03:11:21.152030, 1
Persona, 03:11:25.312543, 03:11:25.313113, 1
Persona, 03:11:41.704324, 03:11:41.704836, 2
Persona, 03:11:42.665488, 03:11:42.666039, 2
Persona, 03:11:57.066134, 03:11:57.066660, 1
Persona, 03:12:01.557896, 03:12:01.558422, 1
Persona, 03:12:19.888743, 03:12:19.889279, 2
