Persona, 03:11:25.225292, Barco_Pirata, 03:11:25.225919, Carrusel, 03:11:25.226761
Persona, 03:11:25.246776, Casa_Terror, 03:11:25.247417, Barco_Pirata, 03:11:25.248174
Persona, 03:11:25.265418, Carrusel, 03:11:25.265938, Barco_Pirata, 03:11:25.266728
Persona, 03:11:25.285467, Barco_Pirata, 03:11:25.286043, Casa_Terror, 03:11:25.286853
Persona, 03:11:25.311936, Barco_Pirata, 03:11:25.312543, Barco_Pirata, 03:11:29.331658
Persona, 03:11:29.362797, Casa_Terror, 03:11:29.363485, Casa_Terror, 03:11:29.364459
Persona, 03:11:29.383228, Montaña_Rusa, 03:11:29.383920, Barco_Pirata, 03:11:29.384721
Persona, 03:11:29.403672, Carrusel, 03:11:29.404292, Casa_Terror, 03:11:29.405374
Persona, 03:11:29.423033, Carrusel, 03:11:29.423781, Casa_Terror, 03:11:29.424571
Persona, 03:11:29.441616, Carrusel, 03:11:29.442247, Barco_Pirata, 03:11:29.443103
Persona, 03:11:29.459984, Carrusel, 03:11:29.460687, Casa_Terror, 03:11:36.482450
Persona, 03:11:36.521568, Carrusel, 03:11:36.522854, Barco_Pirata, 03:11:36.524788
Persona, 03:11:36.559310, Barco_Pirata, 03:11:36.560121, Montaña_Rusa, 03:11:36.561498
Persona, 03:11:36.578168, Casa_Terror, 03:11:36.578811, Casa_Terror, 03:11:41.597685
Persona, 03:11:41.630206, Casa_Terror, 03:11:41.630821, Casa_Terror, 03:11:41.631737
Persona, 03:11:41.648285, Montaña_Rusa, 03:11:41.649391, Carrusel, 03:11:41.650306
Persona, 03:11:41.669780, Carrusel, 03:11:41.670292, Casa_Terror, 03:11:41.671063
Persona, 03:11:41.686573, Casa_Terror, 03:11:41.687152, Casa_Terror, 03:11:41.687906
Persona, 03:11:41.703071, Carrusel, 03:11:41.703586, Barco_Pirata, 03:11:41.704324
Persona, 03:11:41.767717, Barco_Pirata, 03:11:41.768241, Montaña_Rusa, 03:11:41.769317
Persona, 03:11:41.790857, Barco_Pirata, 03:11:41.791370, Casa_Terror, 03:11:41.792138
Persona, 03:11:41.806988, Carrusel, 03:11:41.807480, Montaña_Rusa, 03:11:41.808202
Persona, 03:11:41.822880, Carrusel, 03:11:41.823372, Casa_Terror, 03:11:41.824302
Persona, 03:11:41.931163, Carrusel, 03:11:41.932007, Casa_Terror, 03:11:41.933137
Persona, 03:11:41.955178, Carrusel, 03:11:41.955720, Carrusel, 03:11:41.956511
Persona, 03:11:41.975693, Carrusel, 03:11:41.976346, Casa_Terror, 03:11:41.977258
Persona, 03:11:41.998278, Carrusel, 03:11:41.999050, Carrusel, 03:11:42.000405
Persona, 03:11:42.022908, Carrusel, 03:11:42.023440, Casa_Terror, 03:11:42.024227
Persona, 03:11:42.045678, Carrusel, 03:11:42.046384, Carrusel, 03:11:42.047336
Persona, 03:11:42.148246, Montaña_Rusa, 03:11:42.148785, Barco_Pirata, 03:11:42.149556
Persona, 03:11:42.169645, Casa_Terror, 03:11:42.170186, Montaña_Rusa, 03:11:42.171030
Persona, 03:11:42.191090, Carrusel, 03:11:42.191673, Carrusel, 03:11:42.192628
Persona, 03:11:42.211435, Casa_Terror, 03:11:42.212024, Barco_Pirata, 03:11:42.212763
Persona, 03:11:42.231035, Barco_Pirata, 03:11:42.231567, Carrusel, 03:11:42.232338
Persona, 03:11:42.259623, Carrusel, 03:11:42.260173, Casa_Terror, 03:11:42.260953
Persona, 03:11:42.278663, Casa_Terror, 03:11:42.279213, Montaña_Rusa, 03:11:42.280009
Persona, 03:11:42.297918, Montaña_Rusa, 03:11:42.298464, Casa_Terror, 03:11:42.299244
Persona, 03:11:42.392678, Casa_Terror, 03:11:42.393343, Montaña_Rusa, 03:11:42.394263
Persona, 03:11:42.535222, Casa_Terror, 03:11:42.535844, Casa_Terror, 03:11:42.536700
Persona, 03:11:42.562208, Montaña_Rusa, 03:11:42.562743, Carrusel, 03:11:42.563494
Persona, 03:11:42.581153, Casa_Terror, 03:11:42.581668, Carrusel, 03:11:42.582464
Persona, 03:11:42.601083, Casa_Terror, 03:11:42.601710, Carrusel, 03:11:42.602551
Persona, 03:11:42.624028, Casa_Terror, 03:11:42.624611, Montaña_Rusa, 03:11:42.625490
Persona, 03:11:42.644796, Montaña_Rusa, 03:11:42.645378, Montaña_Rusa, 03:11:42.646255
Persona, 03:11:42.664159, Casa_Terror, 03:11:42.664674, Barco_Pirata, 03:11:42.665488
Persona, 03:11:42.737829, Montaña_Rusa, 03:11:42.738383, Carrusel, 03:11:42.739129
Persona, 03:11:42.756857, Carrusel, 03:11:42.757392, Montaña_Rusa, 03:11:42.758172
Persona, 03:11:42.775670, Casa_Terror, 03:11:42.776196, Casa_Terror, 03:11:47.791864
Persona, 03:11:47.822651, Montaña_Rusa, 03:11:47.823219, Montaña_Rusa, 03:11:47.824025
Persona, 03:11:47.841944, Casa_Terror, 03:11:47.842662, Casa_Terror, 03:11:47.843445
Persona, 03:11:47.861069, Casa_Terror, 03:11:47.861574, Montaña_Rusa, 03:11:47.862417
Persona, 03:11:47.880010, Casa_Terror, 03:11:47.880605, Carrusel, 03:11:47.881499
Persona, 03:11:47.899467, Montaña_Rusa, 03:11:47.899980, Casa_Terror, 03:11:56.923824
Persona, 03:11:56.955900, Carrusel, 03:11:56.956595, Barco_Pirata, 03:11:56.957668
Persona, 03:11:56.987625, Barco_Pirata, 03:11:56.988154, Barco_Pirata, 03:11:56.988902
Persona, 03:11:57.006860, Barco_Pirata, 03:11:57.007385, Montaña_Rusa, 03:11:57.008217
Persona, 03:11:57.026586, Carrusel, 03:11:57.027134, Montaña_Rusa, 03:11:57.028030
Persona, 03:11:57.046298, Barco_Pirata, 03:11:57.046857, Casa_Terror, 03:11:57.047608
Persona, 03:11:57.065591, Barco_Pirata, 03:11:57.066134, Carrusel, 03:12:01.089836
Persona, 03:12:01.117883, Carrusel, 03:12:01.118587, Carrusel, 03:12:01.119807
Persona, 03:12:01.236919, Barco_Pirata, 03:12:01.237542, Casa_Terror, 03:12:01.238833
Persona, 03:12:01.334148, Montaña_Rusa, 03:12:01.334769, Carrusel, 03:12:01.335587
Persona, 03:12:01.360030, Casa_Terror, 03:12:01.360672, Barco_Pirata, 03:12:01.361585
Persona, 03:12:01.387183, Carrusel, 03:12:01.387740, Montaña_Rusa, 03:12:01.388500
Persona, 03:12:01.407476, Carrusel, 03:12:01.408012, Casa_Terror, 03:12:01.408758
Persona, 03:12:01.426396, Carrusel, 03:12:01.426928, Casa_Terror, 03:12:01.427720
Persona, 03:12:01.444839, Casa_Terror, 03:12:01.445364, Carrusel, 03:12:01.446188
Persona, 03:12:01.464167, Casa_Terror, 03:12:01.464754, Barco_Pirata, 03:12:01.465477
Persona, 03:12:01.482494, Montaña_Rusa, 03:12:01.483218, Carrusel, 03:12:01.484024
Persona, 03:12:01.500797, Casa_Terror, 03:12:01.501311, Carrusel, 03:12:01.502065
Persona, 03:12:01.519716, Carrusel, 03:12:01.520239, Barco_Pirata, 03:12:01.521010
Persona, 03:12:01.538543, Barco_Pirata, 03:12:01.539057, Montaña_Rusa, 03:12:01.539807
Persona, 03:12:01.557192, Barco_Pirata, 03:12:01.557896, Barco_Pirata, 03:12:05.575631
Persona, 03:12:05.611695, Casa_Terror, 03:12:05.612333, Montaña_Rusa, 03:12:05.613083
Persona, 03:12:05.635803, Casa_Terror, 03:12:05.636794, Carrusel, 03:12:10.659357
Persona, 03:12:10.686293, Carrusel, 03:12:10.687079, Barco_Pirata, 03:12:10.688427
Persona, 03:12:10.708777, Barco_Pirata, 03:12:10.709537, Casa_Terror, 03:12:10.710376
Persona, 03:12:10.729102, Carrusel, 03:12:10.729944, Barco_Pirata, 03:12:10.731102
Persona, 03:12:10.749690, Montaña_Rusa, 03:12:10.750369, Montaña_Rusa, 03:12:10.751588
Persona, 03:12:10.773162, Montaña_Rusa, 03:12:10.773844, Montaña_Rusa, 03:12:19.796132
Persona, 03:12:19.837424, Casa_Terror, 03:12:19.838216, Carrusel, 03:12:19.839426
Persona, 03:12:19.861468, Montaña_Rusa, 03:12:19.862161, Carrusel, 03:12:19.863151
Persona, 03:12:19.887439, Barco_Pirata, 03:12:19.887971, Barco_Pirata, 03:12:19.888743
Persona, 03:12:19.957009, Montaña_Rusa, 03:12:19.957542, Montaña_Rusa, 03:12:19.958333
Persona, 03:12:19.976332, Carrusel, 03:12:19.976838, Carrusel, 03:12:19.977602
Persona, 03:12:20.076279, Casa_Terror, 03:12:20.076804, Barco_Pirata, 03:12:20.077603
